epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,fitness,lr/pg0,lr/pg1,lr/pg2
39,19438.1,0.76325,0.75035,1.57826,0.87792,0.80909,0.87616,0.55354,0.73226,0.69415,1.635,0.811389,0.000303665,0.000303665,0.000303665
40,19934,0.75952,0.7485,1.58306,0.87845,0.79312,0.87215,0.55083,0.73174,0.70035,1.63388,0.802028,0.000280275,0.000280275,0.000280275
41,20429.6,0.75658,0.75289,1.58161,0.89143,0.79912,0.87763,0.55327,0.72713,0.6908,1.62695,0.808228,0.0002575,0.0002575,0.0002575
42,20925.1,0.75592,0.74955,1.56857,0.88081,0.8083,0.87776,0.55383,0.7219,0.67989,1.61424,0.81181,0.000235404,0.000235404,0.000235404
43,21420.8,0.74981,0.72903,1.56253,0.89367,0.8057,0.87977,0.55476,0.72484,0.68072,1.62183,0.812535,0.000214046,0.000214046,0.000214046
44,21916.8,0.74856,0.73386,1.56093,0.88251,0.80708,0.87923,0.55925,0.72324,0.67349,1.61231,0.812364,0.000193486,0.000193486,0.000193486
45,22414.2,0.75901,0.73229,1.55771,0.895,0.79924,0.87926,0.56041,0.72685,0.67574,1.6188,0.809849,0.00017378,0.00017378,0.00017378
46,22910.2,0.74355,0.72025,1.5499,0.88815,0.81253,0.88306,0.56018,0.72221,0.669,1.60939,0.8169,0.000154982,0.000154982,0.000154982
47,23407.5,0.74507,0.72634,1.55143,0.8941,0.80844,0.88314,0.56117,0.71972,0.66944,1.60822,0.815599,0.000137143,0.000137143,0.000137143
48,23903.7,0.75283,0.72908,1.55701,0.88724,0.81495,0.88481,0.56243,0.71506,0.6648,1.60192,0.818756,0.000120313,0.000120313,0.000120313
49,24400.7,0.73581,0.7098,1.53996,0.89545,0.80984,0.88471,0.56283,0.71641,0.66114,1.60425,0.817072,0.000104537,0.000104537,0.000104537
50,24896.4,0.73799,0.70969,1.5379,0.89745,0.81162,0.88451,0.56356,0.71691,0.66196,1.60369,0.818177,8.98581e-05,8.98581e-05,8.98581e-05
51,25396,0.70156,0.64875,1.52576,0.88513,0.81426,0.87982,0.56157,0.71651,0.65931,1.60119,0.81661,7.63174e-05,7.63174e-05,7.63174e-05
52,25877.7,0.69442,0.64271,1.51633,0.8871,0.81058,0.88178,0.56285,0.71356,0.65873,1.59243,0.815705,6.39518e-05,6.39518e-05,6.39518e-05
53,26358.8,0.69545,0.6408,1.51075,0.88317,0.81002,0.8812,0.56391,0.71091,0.65622,1.58869,0.81495,5.2795e-05,5.2795e-05,5.2795e-05
54,26839.2,0.69047,0.63021,1.50739,0.89378,0.80947,0.8815,0.56365,0.71328,0.65258,1.59322,0.815836,4.28777e-05,4.28777e-05,4.28777e-05
55,27319.9,0.689,0.63237,1.50978,0.89883,0.80802,0.88167,0.56521,0.71245,0.6523,1.59095,0.815832,3.4227e-05,3.4227e-05,3.4227e-05
56,27800.4,0.68968,0.62989,1.51023,0.8901,0.81374,0.88263,0.56443,0.714,0.65479,1.59503,0.817999,2.68667e-05,2.68667e-05,2.68667e-05
57,28281.6,0.68701,0.62679,1.50828,0.89456,0.80685,0.88053,0.56329,0.71225,0.65206,1.59307,0.814281,2.08169e-05,2.08169e-05,2.08169e-05
58,28765.6,0.68901,0.6295,1.50536,0.89344,0.81073,0.88212,0.56427,0.71151,0.65276,1.59147,0.816677,1.60943e-05,1.60943e-05,1.60943e-05
59,29251.3,0.68827,0.62388,1.505,0.89304,0.80749,0.88283,0.56547,0.71111,0.65328,1.58934,0.815354,1.27117e-05,1.27117e-05,1.27117e-05
60,29740,0.68487,0.62234,1.49867,0.8961,0.80675,0.88264,0.56611,0.70975,0.65166,1.58787,0.815302,1.06784e-05,1.06784e-05,1.06784e-05
